,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,days_act,num_events,num_ses,Gano
146,2.75,2.0,2.66666666666667,2.16666666666667,2.33333333333333,1.75,2,1,6,6,0,0,6,0,0,0,1,1,1,16,0,1,0,4,2,9,0
147,1.25,1.5,2.66666666666667,2.33333333333333,3.0,1.5,0,1,0,5,0,0,3,1,1,1,1,1,3,42,0,0,1,4,1,4,0
148,1.75,2.0,1.66666666666667,2.33333333333333,3.33333333333333,2.75,0,1,0,0,0,0,2,1,0,0,1,1,2,42,0,0,0,3,1,7,0
149,1.5,2.0,2.33333333333333,2.5,2.0,0.25,1,1,0,3,0,0,1,1,4,4,0,0,6,41,0,0,1,10,10,19,0
150,0.0,2.5,3.33333333333333,3.33333333333333,3.33333333333333,0.0,4,1,0,0,0,0,4,1,5,1,1,1,4,46,0,0,1,1,1,2,0
151,0.75,1.0,2.66666666666667,1.16666666666667,1.0,0.5,0,2,4,0,0,0,6,0,0,0,1,1,2,17,0,1,0,10,10,13,0
152,2.25,2.25,2.33333333333333,1.16666666666667,2.33333333333333,2.25,0,2,4,7,0,0,5,0,0,0,1,1,3,22,0,1,0,6,1,15,0
153,1.0,2.25,3.33333333333333,1.33333333333333,2.33333333333333,1.0,0,2,4,0,0,0,2,1,1,1,1,1,2,20,0,1,0,4,3,6,0
154,1.75,2.0,3.0,1.5,2.33333333333333,2.25,0,2,0,0,0,0,8,0,4,3,1,1,5,38,0,0,1,4,1,4,0
155,1.5,3.0,3.0,1.5,3.0,0.25,1,2,0,0,0,0,4,0,0,0,1,1,3,25,0,1,0,5,1,7,0
156,2.0,2.25,2.66666666666667,1.5,2.33333333333333,1.0,4,2,0,9,0,5,4,1,4,0,1,1,4,23,0,1,0,5,2,8,0
157,1.25,1.75,1.66666666666667,1.83333333333333,1.66666666666667,1.25,0,2,0,0,0,0,4,1,0,0,0,0,3,26,0,1,0,1,9,1,0
158,1.75,1.75,1.66666666666667,1.83333333333333,2.66666666666667,1.5,0,2,0,3,0,0,6,1,0,0,1,1,4,21,0,1,0,12,1,23,0
159,1.5,1.75,3.0,1.83333333333333,2.33333333333333,2.5,0,2,4,0,0,0,4,0,1,0,1,1,2,17,0,1,0,5,10,5,0
160,2.75,2.25,2.0,1.83333333333333,3.0,2.25,2,2,0,0,0,0,5,1,0,0,0,1,5,22,0,1,0,1,8,1,0
161,2.25,1.75,2.0,2.0,2.0,3.0,0,2,0,0,0,0,2,1,0,0,1,1,5,32,0,0,1,16,10,27,0
162,2.0,2.0,2.0,2.0,2.0,1.5,0,2,0,0,0,0,3,0,1,0,0,1,3,20,0,0,1,3,3,4,0
163,1.75,2.25,1.66666666666667,2.0,2.66666666666667,2.5,0,2,5,3,0,0,3,0,1,1,1,1,2,19,0,1,0,13,2,20,0
164,1.0,2.5,2.66666666666667,2.0,3.0,0.5,0,2,0,0,0,0,5,1,0,0,1,1,3,23,0,1,0,2,4,2,0
165,1.75,1.75,2.33333333333333,2.0,1.66666666666667,2.25,2,2,0,0,6,0,5,0,3,2,1,0,6,43,1,0,1,18,1,25,0
166,1.0,2.25,2.33333333333333,2.16666666666667,2.33333333333333,1.5,0,2,0,0,0,0,8,0,0,0,1,0,2,19,0,1,0,5,8,5,0
167,2.25,2.5,2.33333333333333,2.16666666666667,3.33333333333333,1.25,0,2,5,0,0,0,3,1,7,4,0,0,4,23,0,0,1,5,1,5,0
168,2.0,1.75,2.0,2.33333333333333,2.0,3.25,0,2,0,0,0,0,1,0,0,0,1,1,4,34,0,0,1,2,2,2,0
169,2.0,2.5,2.33333333333333,2.33333333333333,2.66666666666667,1.5,2,2,0,0,0,0,3,0,3,2,1,0,3,25,1,1,0,3,7,4,0
