;userId;GoalSetting;StrategicPlanning;SelfEvaluation;TaskStrategies;Elaboration;HelpSeeking;SRL;only lecture;Atry to lecture;explore;only asessment;Lcomplete to Atry;lecture to Acomplete;hrs;prior_exp;crs_str;crs_fin;int_topic;int_assess;edu;age;isfemale;emp_student;emp_job;completer;days_act;num_events;num_ses;grade;cluster;Gano;Ocupation
268;c2a227ef4e6a338ffa8a957f4d0c555a9456002a;3,5;2;2,333333333;2,5;3,333333333;1,5;2,527777778;29;90;24;3;0;0;3;0;0;0;1;1;2;28;0;0;1;True;19;311;52;93,28571558;2;SI;Employee
269;0f9a128b378cf57d46bf08ba4db4bd1977b49469;3;3;3;2,666666667;3;2,5;2,861111111;23;90;19;0;0;0;3;1;0;7;1;1;5;22;0;1;0;True;19;315;56;96,20000124;2;SI;Student
270;d5f74c1eb81fd2269f97677a7521e1fd166926be;3,25;3,25;2,333333333;2,666666667;2,333333333;1;2,472222222;29;90;6;0;0;0;8;0;15;14;1;1;4;49;0;0;1;True;16;295;19;100;2;SI;Employee
271;7aec1cd4cfbd0248266e8f7172dd7a3d7d1a2258;2;2,25;2,333333333;2,666666667;2;2,75;2,333333333;32;90;0;10;6;0;4;1;8;6;1;1;5;34;0;0;1;False;14;337;18;61,2857163;1;SI;Employee
272;044378fa0e43ac936082cecf0b7fb91b20482e31;2,75;2,25;2,333333333;2,666666667;3;3,75;2,791666667;41;90;4;3;9;9;7;1;0;0;1;1;4;54;0;0;1;False;21;376;46;90,66666961;2;SI;Employee
273;b62592811fd38f2fc68dafc363fd6756af95dcf5;3,25;3;3,666666667;2,833333333;2;2,75;2,916666667;0;90;0;0;0;0;5;1;4;2;1;1;3;19;0;1;0;False;2;149;3;63,98571134;1;SI;Student
274;e49bd5b3fa7f8d78af80bd379754e641593a84bc;2;2;3;2,833333333;2,666666667;2,75;2,541666667;22;90;17;3;0;0;4;0;0;0;1;1;7;32;0;0;1;True;16;292;25;88,40952516;1;SI;Employee
275;e2dec19b081fb968335667b978d31f36698d0d79;3;3;3;3;3;2,5;2,916666667;0;90;0;25;0;0;2;0;4;1;1;1;5;24;0;0;1;True;4;119;4;93,68571639;2;SI;Employee
276;f6769b7fff3d7e7b51c4a83faa14dc8865abe7c7;3,5;3,75;4;3;2,666666667;2,75;3,277777778;0;90;15;3;0;0;4;1;0;0;1;1;3;20;0;1;0;False;5;243;11;63,89999986;1;SI;Student
277;7e34b26bfee1e284fda5a609d396c0f43430ca1e;3,75;3,25;4;3;3;0,75;2,958333333;3;90;12;3;0;0;6;0;0;0;1;1;2;25;1;0;0;False;9;211;17;72,94285893;1;SI;None
278;69040bfc7fca5bea36bba17f79afaf98291e3adf;3,25;3;3,333333333;3;3;3;3,097222222;9;90;5;0;0;0;6;1;4;4;1;1;5;28;0;0;0;True;7;253;15;97,94285893;2;SI;None
279;8cfce51f94571e74853b03e6cba3f1c96473ee41;3;3;3;3;3;3,5;3,083333333;23;90;12;8;6;8;4;1;2;2;1;1;4;53;0;0;1;True;17;275;24;91,00952148;2;SI;Employee
280;825254bd616b98f6e8ba5ddb6e518cc92a82e440;2;3;4;3;3,666666667;2,75;3,069444444;41;90;18;6;18;0;5;1;0;0;1;1;5;32;0;0;0;True;20;364;39;92,74285436;2;SI;None
281;acce63e5b2e2815ea3e05fb1f67c8b673a35eca3;2;3,75;4;3,166666667;4;3,25;3,361111111;0;90;0;5;0;0;8;0;2;2;1;1;3;27;0;0;1;False;3;148;4;61,29999757;1;SI;Employee
282;5139ee747dd832ae9d30d124bccc0a29c267a71a;4;3;3,666666667;3,166666667;3;2,25;3,180555556;5;90;6;10;0;0;5;1;5;5;1;1;4;22;0;0;1;False;7;203;8;96,54285908;2;SI;Employee
